City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,22.08,34,0,2.45,AU,2023-12-10
1,new toronto,43.6002,-79.5053,13.0,90,100,4.12,CA,2023-12-10
2,spring creek,40.7266,-115.5859,-3.17,50,44,1.42,US,2023-12-10
3,zaozersk,69.4005,32.4476,-16.58,94,48,4.75,RU,2023-12-10
4,port elizabeth,-33.918,25.5701,14.5,88,0,3.6,ZA,2023-12-10
5,canoinhas,-26.1772,-50.39,15.25,89,100,1.85,BR,2023-12-10
6,edinburgh of the seven seas,-37.0676,-12.3116,13.58,77,100,6.99,SH,2023-12-10
7,bodo,67.28,14.405,-0.98,59,100,9.26,NO,2023-12-10
8,puerto natales,-51.7236,-72.4875,8.02,94,100,1.46,CL,2023-12-10
9,port macquarie,-31.4333,152.9167,28.83,60,0,6.37,AU,2023-12-10
10,nantucket,41.2835,-70.0995,9.06,97,0,5.14,US,2023-12-10
11,west island,-12.1568,96.8225,27.99,74,40,7.72,CC,2023-12-10
12,nadym,65.5333,72.5167,-40.03,100,51,0.96,RU,2023-12-10
13,port-aux-francais,-49.35,70.2167,3.12,77,99,12.34,TF,2023-12-10
14,albany,42.6001,-73.9662,9.23,83,100,1.34,US,2023-12-10
15,ribeira grande,38.5167,-28.7,18.76,91,100,9.83,PT,2023-12-10
16,vadso,70.0744,29.7487,-11.91,85,75,8.23,NO,2023-12-10
17,bethel,41.3712,-73.414,9.41,88,40,1.54,US,2023-12-10
18,tura,25.5198,90.2201,17.6,63,0,0.98,IN,2023-12-10
19,mbuji-mayi,-6.15,23.6,19.99,97,88,0.79,CD,2023-12-10
20,watsa,3.0372,29.5355,18.14,90,28,0.3,CD,2023-12-10
21,turpan,42.9333,89.1667,1.89,73,100,1.13,CN,2023-12-10
22,geraldton,-28.7667,114.6,29.23,14,0,11.83,AU,2023-12-10
23,flying fish cove,-10.4217,105.6791,28.82,69,75,4.12,CX,2023-12-10
24,roma,43.2128,-75.4557,11.16,80,75,3.6,US,2023-12-10
25,umm kaddadah,13.6017,26.6876,17.65,16,41,3.52,SD,2023-12-10
26,hawaiian paradise park,19.5933,-154.9731,26.73,82,0,3.6,US,2023-12-10
27,cavelossim,15.1726,73.9419,25.99,67,36,2.68,IN,2023-12-10
28,utrik,11.2278,169.8474,27.29,79,76,8.12,MH,2023-12-10
29,waitangi,-43.9535,-176.5597,14.9,91,100,3.58,NZ,2023-12-10
30,lebu,-37.6167,-73.65,12.45,82,0,9.36,CL,2023-12-10
31,tiksi,71.6872,128.8694,-24.3,98,100,1.91,RU,2023-12-10
32,adamstown,-25.066,-130.1015,21.58,79,100,3.52,PN,2023-12-10
33,darwin,-12.4611,130.8418,32.75,69,75,1.54,AU,2023-12-10
34,haiku-pauwela,20.9219,-156.3051,27.01,71,40,10.29,US,2023-12-10
35,kununurra,-15.7667,128.7333,31.99,62,84,3.09,AU,2023-12-10
36,tuy hoa,13.0833,109.3,25.59,77,53,0.66,VN,2023-12-10
37,chita,52.0333,113.55,-35.06,68,15,0.0,RU,2023-12-10
38,papatowai,-46.5619,169.4708,13.76,50,68,6.68,NZ,2023-12-10
39,alto barinas,8.5931,-70.2261,24.03,87,54,2.13,VE,2023-12-10
40,avarua,-21.2078,-159.775,26.03,83,100,11.83,CK,2023-12-10
41,hamilton,39.1834,-84.5333,11.9,93,100,4.12,US,2023-12-10
42,constantia,44.1833,28.65,-1.62,86,88,4.01,RO,2023-12-10
43,el rosario,24.2556,-107.1828,20.25,70,0,3.21,MX,2023-12-10
44,ushuaia,-54.8,-68.3,7.81,81,20,8.75,AR,2023-12-10
45,puerto san jose,13.9256,-90.8244,26.15,78,100,1.95,GT,2023-12-10
46,ilulissat,69.2167,-51.1,-5.99,79,100,4.63,GL,2023-12-10
47,college,64.8569,-147.8028,-23.64,77,20,2.06,US,2023-12-10
48,mokopane,-24.1944,29.0097,19.07,81,100,2.41,ZA,2023-12-10
49,grytviken,-54.2811,-36.5092,4.01,86,27,4.91,GS,2023-12-10
50,thompson,55.7435,-97.8558,-6.91,93,100,2.57,CA,2023-12-10
51,enewetak,11.3474,162.3373,27.68,78,10,7.1,MH,2023-12-10
52,santo antonio,-6.3106,-35.4789,25.07,77,99,3.94,BR,2023-12-10
53,moroni,-11.7022,43.2551,26.78,82,39,1.66,KM,2023-12-10
54,pangai,-19.8,-174.35,26.7,70,100,2.74,TO,2023-12-10
55,blackmans bay,-43.0167,147.3167,20.29,49,0,0.89,AU,2023-12-10
56,yellowknife,62.456,-114.3525,-9.71,92,100,6.17,CA,2023-12-10
57,talnakh,69.4865,88.3972,-34.52,99,100,3.38,RU,2023-12-10
